Sigla;Código;Município;Renda per capita média (Atlas DH - Censo) (2010);Percentual da população de 25 anos ou mais com ensino médio completo (Atlas DH - Censo) (2010);
AM;1304104;Tapauá;193,97;14,01;
AM;1304203;Tefé;421,41;27,21;
AM;1304237;Tonantins;189,15;16,22;
AM;1304260;Uarini;223,11;15,11;
AM;1304302;Urucará;246,99;27,8;
AM;1304401;Urucurituba;227,55;19,55;
AP;1600055;Serra do Navio;484,63;37,77;
AP;1600105;Amapá;406,9;26,35;
AP;1600154;Pedra Branca do Amaparí;397,98;24,26;
AP;1600204;Calçoene;417,71;22,72;
AP;1600212;Cutias;287,41;28,19;
AP;1600238;Ferreira Gomes;416,72;31,09;
AP;1600253;Itaubal;213,26;18,41;
AP;1600279;Laranjal do Jari;432,92;30,86;
AP;1600303;Macapá;717,88;51,26;
AP;1600402;Mazagão;353,61;23,24;
AP;1600501;Oiapoque;598,38;24,02;
AP;1600535;Porto Grande;356,65;27,6;
AP;1600550;Pracuúba;228,81;25,49;
AP;1600600;Santana;469,24;40,84;
AP;1600709;Tartarugalzinho;250,2;17,38;
AP;1600808;Vitória do Jari;309,39;24,3;
BA;2900108;Abaíra;290,53;14,5;
BA;2900207;Abaré;220,16;16,77;
BA;2900306;Acajutiba;260,46;18,48;
BA;2900355;Adustina;211,37;7,5;
BA;2900405;Água Fria;215,12;11,19;
BA;2900504;Érico Cardoso;258,28;14,87;
BA;2900603;Aiquara;283,24;18,87;
BA;2900702;Alagoinhas;553,17;39,54;
BA;2900801;Alcobaça;357,99;16,78;
BA;2900900;Almadina;265,39;13,67;
BA;2901007;Amargosa;369,84;24,89;
BA;2901106;Amélia Rodrigues;354,66;30,84;
BA;2901155;América Dourada;186,1;13;
BA;2901205;Anagé;243,52;8,2;
BA;2901304;Andaraí;230,36;15;
BA;2901353;Andorinha;305,81;15,1;
BA;2901403;Angical;266,89;17,87;
BA;2901502;Anguera;269;17,68;
BA;2901601;Antas;283,59;17,69;
BA;2901700;Antônio Cardoso;236,86;14,42;
BA;2901809;Antônio Gonçalves;295,7;18,76;
BA;2901908;Aporá;199,04;13,79;
BA;2901957;Apuarema;252,3;12,66;
BA;2902005;Aracatu;316,6;8,67;
BA;2902054;Araças;230,75;17,43;
BA;2902104;Araci;221,98;13,1;
BA;2902203;Aramari;274,61;18,34;
BA;2902252;Arataca;256,14;11,37;
BA;2902302;Aratuípe;278,23;20,89;
